Date,Region,Subregion,Category,EventCount
2025-01-01,North,N1,Property,1
2025-01-01,North,N1,Service,2
2025-01-01,North,N1,Safety,2
2025-01-01,North,N2,Service,2
2025-01-01,North,N3,Service,1
2025-01-01,North,N3,Safety,1
2025-01-01,North,N3,Quality,3
2025-01-01,Central,C1,Safety,1
2025-01-01,Central,C1,Quality,1
2025-01-01,Central,C2,Property,1
2025-01-01,Central,C3,Service,2
2025-01-01,Central,C3,Safety,2
2025-01-01,East,E1,Quality,1
2025-01-01,East,E2,Property,1
2025-01-01,East,E3,Safety,1
2025-01-01,West,W2,Property,1
2025-01-01,West,W3,Property,1
2025-01-01,West,W3,Service,1
2025-01-01,West,W3,Safety,1
2025-01-02,North,N1,Property,1
2025-01-02,North,N3,Safety,3
2025-01-02,North,N3,Quality,2
2025-01-02,Central,C1,Safety,1
2025-01-02,Central,C2,Property,1
2025-01-02,Central,C2,Service,2
2025-01-02,Central,C3,Property,1
2025-01-02,East,E1,Other,1
2025-01-02,East,E2,Quality,1
2025-01-02,East,E2,Other,1
2025-01-02,East,E3,Safety,1
2025-01-02,West,W1,Other,1
2025-01-02,West,W3,Property,1
2025-01-02,West,W3,Service,1
2025-01-02,West,W3,Safety,1
2025-01-03,North,N1,Service,2
2025-01-03,North,N1,Safety,1
2025-01-03,North,N2,Property,1
2025-01-03,North,N2,Quality,2
2025-01-03,North,N2,Other,2
2025-01-03,North,N3,Service,1
2025-01-03,Central,C1,Service,1
2025-01-03,Central,C1,Quality,1
2025-01-03,Central,C2,Property,2
2025-01-03,Central,C2,Safety,2
2025-01-03,Central,C3,Safety,1
2025-01-03,East,E1,Property,1
2025-01-03,East,E1,Service,1
2025-01-03,East,E1,Safety,1
2025-01-03,East,E1,Other,1
2025-01-03,East,E2,Safety,2
2025-01-03,East,E2,Quality,1
2025-01-03,East,E3,Property,1
2025-01-03,East,E3,Quality,1
2025-01-03,East,E3,Other,1
2025-01-03,West,W1,Service,1
2025-01-03,West,W1,Quality,1
2025-01-03,West,W2,Safety,1
2025-01-03,West,W3,Service,1
2025-01-04,North,N1,Property,2
2025-01-04,North,N1,Safety,1
2025-01-04,North,N1,Quality,1
2025-01-04,North,N2,Property,1
2025-01-04,Central,C1,Quality,2
2025-01-04,Central,C2,Safety,1
2025-01-04,Central,C3,Property,1
2025-01-04,Central,C3,Service,1
2025-01-04,Central,C3,Safety,1
2025-01-04,Central,C3,Quality,3
2025-01-04,Central,C3,Other,1
2025-01-04,East,E1,Property,1
2025-01-04,East,E1,Quality,1
2025-01-04,East,E2,Property,1
2025-01-04,West,W1,Service,2
2025-01-04,West,W1,Other,1
2025-01-04,West,W2,Property,1
2025-01-04,West,W2,Service,1
2025-01-04,West,W2,Safety,1
2025-01-04,West,W2,Other,1
2025-01-04,West,W3,Property,1
2025-01-04,West,W3,Service,1
2025-01-04,West,W3,Safety,1
2025-01-04,West,W3,Quality,2
2025-01-05,North,N1,Property,2
2025-01-05,North,N1,Service,1
2025-01-05,North,N1,Safety,1
2025-01-05,North,N2,Safety,2
2025-01-05,North,N2,Other,1
2025-01-05,North,N3,Safety,1
2025-01-05,North,N3,Quality,1
2025-01-05,Central,C1,Property,2
2025-01-05,Central,C2,Property,1
2025-01-05,Central,C2,Safety,1
2025-01-05,Central,C2,Quality,2
2025-01-05,Central,C3,Property,3
2025-01-05,Central,C3,Service,2
2025-01-05,Central,C3,Safety,1
2025-01-05,East,E1,Property,1
2025-01-05,East,E1,Other,1
2025-01-05,East,E2,Service,2
2025-01-05,East,E2,Safety,1
2025-01-05,East,E2,Quality,1
2025-01-05,East,E3,Service,1
2025-01-05,East,E3,Other,1
2025-01-05,West,W1,Property,2
2025-01-05,West,W1,Other,1
2025-01-05,West,W2,Property,1
2025-01-05,West,W2,Service,2
2025-01-05,West,W2,Safety,1
2025-01-05,West,W3,Safety,1
2025-01-05,West,W3,Quality,1
2025-01-06,North,N1,Safety,2
2025-01-06,North,N2,Service,2
2025-01-06,North,N2,Other,1
2025-01-06,North,N3,Property,2
2025-01-06,North,N3,Safety,1
2025-01-06,Central,C1,Property,2
2025-01-06,Central,C3,Property,1
2025-01-06,East,E2,Property,1
2025-01-06,East,E2,Service,1
2025-01-06,East,E2,Quality,1
2025-01-06,East,E3,Property,1
2025-01-06,East,E3,Safety,2
2025-01-06,West,W1,Property,1
2025-01-06,West,W1,Service,1
2025-01-06,West,W1,Other,1
2025-01-06,West,W3,Service,2
2025-01-07,North,N1,Service,3
2025-01-07,North,N1,Safety,1
2025-01-07,North,N3,Property,2
2025-01-07,North,N3,Service,2
2025-01-07,Central,C1,Property,1
2025-01-07,Central,C1,Other,1
2025-01-07,Central,C3,Safety,1
2025-01-07,Central,C3,Quality,1
2025-01-07,Central,C3,Other,1
2025-01-07,East,E1,Quality,1
2025-01-07,East,E2,Property,1
2025-01-07,East,E2,Service,1
2025-01-07,East,E2,Safety,1
2025-01-07,East,E3,Safety,1
2025-01-07,West,W1,Safety,1
2025-01-07,West,W2,Safety,1
2025-01-07,West,W2,Quality,1
2025-01-07,West,W3,Property,2
2025-01-07,West,W3,Service,3
2025-01-07,West,W3,Safety,1
2025-01-08,North,N1,Property,2
2025-01-08,North,N1,Service,1
2025-01-08,North,N2,Property,1
2025-01-08,North,N2,Service,1
2025-01-08,North,N2,Safety,1
2025-01-08,North,N2,Quality,1
2025-01-08,North,N3,Property,3
2025-01-08,Central,C1,Property,3
2025-01-08,Central,C1,Service,1
2025-01-08,Central,C1,Other,1
2025-01-08,Central,C2,Property,1
2025-01-08,Central,C2,Quality,1
2025-01-08,Central,C3,Property,1
2025-01-08,Central,C3,Service,1
2025-01-08,Central,C3,Safety,1
2025-01-08,Central,C3,Other,1
2025-01-08,East,E1,Safety,1
2025-01-08,East,E1,Quality,1
2025-01-08,East,E2,Safety,2
2025-01-08,East,E2,Other,1
2025-01-08,West,W1,Service,1
2025-01-08,West,W1,Quality,2
2025-01-08,West,W2,Property,1
2025-01-08,West,W2,Safety,1
2025-01-08,West,W2,Quality,1
2025-01-08,West,W3,Other,1
2025-01-09,North,N1,Property,1
2025-01-09,North,N1,Service,1
2025-01-09,North,N1,Quality,2
2025-01-09,North,N1,Other,1
2025-01-09,North,N2,Service,1
2025-01-09,North,N2,Safety,2
2025-01-09,North,N3,Property,1
2025-01-09,Central,C1,Property,1
2025-01-09,Central,C2,Property,1
2025-01-09,Central,C3,Service,1
2025-01-09,East,E1,Service,2
2025-01-09,East,E2,Property,1
2025-01-09,East,E2,Safety,1
2025-01-09,East,E3,Quality,1
2025-01-09,West,W2,Property,1
2025-01-09,West,W2,Safety,1
2025-01-09,West,W3,Property,1
2025-01-09,West,W3,Service,1
2025-01-09,West,W3,Quality,1
2025-01-09,West,W3,Other,1
2025-01-10,North,N1,Property,2
2025-01-10,North,N2,Quality,1
2025-01-10,North,N3,Service,1
2025-01-10,Central,C1,Safety,1
2025-01-10,Central,C1,Other,1
2025-01-10,Central,C2,Service,2
2025-01-10,Central,C2,Safety,1
2025-01-10,Central,C3,Service,2
2025-01-10,Central,C3,Safety,1
2025-01-10,Central,C3,Quality,1
2025-01-10,East,E1,Property,1
2025-01-10,East,E1,Service,1
2025-01-10,East,E1,Quality,2
2025-01-10,East,E2,Service,1
